Model,AI,AH,B,VC,A,OS,SS,N,PC,ISA_Score
Claude-3-7-Sonnet Tag for Gemma-3-12b-It,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude-3-7-Sonnet Tag for Mistral-Small-3.2-24b-Instruct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude-3-7-Sonnet Tag for Mistral-Medium-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude-3-7-Sonnet Tag for Mixtral-8x22B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude-3-7-Sonnet Tag for Llama-3.1-70b-Instruct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude-3-7-Sonnet Tag for Llama-3.2-3b-Instruct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude-3-7-Sonnet Tag for Llama-4-Scout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude-3-7-Sonnet Tag for Command-R-Plus-08-2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude-3-7-Sonnet Tag for Command,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude-3-7-Sonnet Tag for Claude-Sonnet-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude-3-7-Sonnet Tag for Calude-Opus-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude-3-7-Sonnet Tag for Grok-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude-3-7-Sonnet Tag for Phi-3-medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mistral-Small-3 Tag for GPT-4o,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mistral-Small-3 Tag for GPT-4o-mini,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mistral-Small-3 Tag for Qwen3-32b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mistral-Small-3 Tag for Qwen2.5-72b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mistral-Small-3 Tag for Gemini-2.5-Flash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mistral-Small-3 Tag for Gemini-Flash-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mistral-Small-3 Tag for Gemma-3-4b-It,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mistral-Small-3 Tag for Gemma-3-12b-It,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mistral-Small-3 Tag for Mistral-Small-3.2-24b-Instruct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mistral-Small-3 Tag for Mistral-Medium-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mistral-Small-3 Tag for Mixtral-8x22B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mistral-Small-3 Tag for Llama-3.1-70b-Instruct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mistral-Small-3 Tag for Llama-3.2-3b-Instruct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mistral-Small-3 Tag for Llama-4-Scout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mistral-Small-3 Tag for Command-R-Plus-08-2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mistral-Small-3 Tag for Command,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mistral-Small-3 Tag for Claude-Sonnet-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mistral-Small-3 Tag for Calude-Opus-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mistral-Small-3 Tag for Grok-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mistral-Small-3 Tag for Phi-3-medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
